CompanyName, CompanyNumber,RegAddress.CareOf,RegAddress.POBox,RegAddress.AddressLine1, RegAddress.AddressLine2,RegAddress.PostTown,RegAddress.County,RegAddress.Country,RegAddress.PostCode,CompanyCategory,CompanyStatus,CountryOfOrigin,DissolutionDate,IncorporationDate,Accounts.AccountRefDay,Accounts.AccountRefMonth,Accounts.NextDueDate,Accounts.LastMadeUpDate,Accounts.AccountCategory,Returns.NextDueDate,Returns.LastMadeUpDate,Mortgages.NumMortCharges,Mortgages.NumMortOutstanding,Mortgages.NumMortPartSatisfied,Mortgages.NumMortSatisfied,SICCode.SicText_1,SICCode.SicText_2,SICCode.SicText_3,SICCode.SicText_4,LimitedPartnerships.NumGenPartners,LimitedPartnerships.NumLimPartners,URI,PreviousName_1.CONDATE, PreviousName_1.CompanyName, PreviousName_2.CONDATE, PreviousName_2.CompanyName,, PreviousName_3.CompanyName,PreviousName_4.CONDATE, PreviousName_4.CompanyName,PreviousName_5.CONDATE, PreviousName_5.CompanyName,PreviousName_6.CONDATE, PreviousName_6.CompanyName,PreviousName_7.CONDATE, PreviousName_7.CompanyName,PreviousName_8.CONDATE, PreviousName_8.CompanyName,PreviousName_9.CONDATE, PreviousName_9.CompanyName,PreviousName_10.CONDATE, PreviousName_10.CompanyName,ConfStmtNextDueDate, ConfStmtLastMadeUpDate
"""A"" CERAMICS LIMITED",4494986,,,132 MANCHESTER ROAD,SHAW,OLDHAM,LANCASHIRE,,OL2 7DD,Private Limited Company,Active,United Kingdom,,25-07-2002,31,7,30-04-2023,31-07-2021,TOTAL EXEMPTION FULL,22-08-2016,25-07-2015,1,1,0,0,86230 - Dental practice activities,,,,0,0,http://business.data.gov.uk/id/company/04494986,,,,,,,,,,,,,,,,,,,,,08-08-2023,25-07-2022
"""CHANNING HOUSE""INCORPORATED HIGHGATE",63121,,,CHANNING SCHOOL,HIGHGATE HILL,HIGHGATE,LONDON,,N6 5HF,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)",Active,United Kingdom,,27/07/1899,31,8,31-05-2023,31-08-2021,FULL,28-09-2016,31-08-2015,5,5,0,0,85200 - Primary education,85310 - General secondary education,,,0,0,http://business.data.gov.uk/id/company/00063121,,,,,,,,,,,,,,,,,,,,,14-09-2023,31-08-2022
"""GLOBAL TRAINING HOUSE"" LTD",13945580,,,22 LONDON,,99,,UNITED KINGDOM,E11 3NA,Private Limited Company,Active,United Kingdom,,01-03-2022,31,3,01-12-2023,,NO ACCOUNTS FILED,29-03-2023,,0,0,0,0,85590 - Other education n.e.c.,85600 - Educational support services,,,0,0,http://business.data.gov.uk/id/company/13945580,,,,,,,,,,,,,,,,,,,,,14-03-2023,
"""OFF THE PAGE"" LIMITED",4635689,,,"UNIT 8, DRY DRAYTON INDUSTRIES",SCOTLAND ROAD,DRY DRAYTON,CAMBRIDGESHIRE,,CB23 8AT,Private Limited Company,Active,United Kingdom,,13-01-2003,31,8,31-05-2023,31-08-2021,TOTAL EXEMPTION FULL,10-02-2017,13-01-2016,1,1,0,0,85200 - Primary education,,,,0,0,http://business.data.gov.uk/id/company/04635689,,,,,,,,,,,,,,,,,,,,,27-01-2023,13-01-2022
"""REALTY"" THE LONDON PROPERTY BROKERS LIMITED",1816008,,,3RD FLOOR,114A CROMWELL ROAD,LONDON,,UNITED KINGDOM,SW7 4AG,Private Limited Company,Active,United Kingdom,,14-05-1984,31,7,30-04-2023,31-07-2021,TOTAL EXEMPTION FULL,09-03-2017,09-02-2016,0,0,0,0,68310 - Real estate agencies,,,,0,0,http://business.data.gov.uk/id/company/01816008,,,,,,,,,,,,,,,,,,,,,23-02-2023,09-02-2022
"""SOBRIETY"" PROJECT LIMITED(THE)",1496333,,,UNIT 7 JETSTREAM DRIVE,AUCKLEY,DONCASTER,SOUTH YORKSHIRE,,DN9 3QS,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)",Liquidation,United Kingdom,,12-05-1980,30,4,31-01-2020,30-04-2018,SMALL,16-01-2017,19-12-2015,7,6,0,1,85590 - Other education n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/01496333,,,,,,,,,,,,,,,,,,,,,02-01-2020,19-12-2018
"""SPECTRUM TRAINING""",3047327,,,97 JUDD STREET,,LONDON,,,WC1H 9JG,"PRI/LBG/NSC (Private, Limited by guarantee, no share capital, use of 'Limited' exemption)",Active,United Kingdom,,19-04-1995,30,4,31-01-2024,30-04-2022,TOTAL EXEMPTION FULL,17-05-2017,19-04-2016,0,0,0,0,85421 - First-degree level higher education,,,,0,0,http://business.data.gov.uk/id/company/03047327,,,,,,,,,,,,,,,,,,,,,03-05-2023,19-04-2022
"""WONDER YEARS CENTRE OF EXCELLENCE""",4277902,,,47 DELVES CRESCENT,,WALSALL,,,WS5 4LS,"PRI/LBG/NSC (Private, Limited by guarantee, no share capital, use of 'Limited' exemption)",Active,United Kingdom,,28-08-2001,31,12,30-09-2023,31-12-2021,MICRO ENTITY,03-08-2016,06-07-2015,0,0,0,0,85590 - Other education n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/04277902,,,,,,,,,,,,,,,,,,,,,20-07-2023,06-07-2022
$HINE CLOTHING LTD,13870819,,,53 WHARTON STREET,SKELTON-IN-CLEVELAND,SALTBURN-BY-THE-SEA,,ENGLAND,TS12 2AY,Private Limited Company,Active,United Kingdom,,25-01-2022,31,1,25-10-2023,,NO ACCOUNTS FILED,22-02-2023,,0,0,0,0,46420 - Wholesale of clothing and footwear,,,,0,0,http://business.data.gov.uk/id/company/13870819,,,,,,,,,,,,,,,,,,,,,07-02-2023,
$â‚¬LF-MADÂ£ LTD,13984549,,,KEMP HOUSE 152-160,CITY ROAD,LONDON,,ENGLAND,EC1V 2NX,Private Limited Company,Active,United Kingdom,,17-03-2022,31,3,17-12-2023,,NO ACCOUNTS FILED,14-04-2023,,0,0,0,0,46420 - Wholesale of clothing and footwear,,,,0,0,http://business.data.gov.uk/id/company/13984549,,,,,,,,,,,,,,,,,,,,,30-03-2023,
